id,key,value,type
7370211,name,Nieuwe Achtergracht,regular
7370211,highway,unclassified,regular
7370212,name,Nieuwe Achtergracht,regular
7370212,oneway,yes,regular
7370212,highway,unclassified,regular
7370227,foot,yes,regular
7370227,name,Camperstraat,regular
7370227,oneway,yes,regular
7370227,bicycle,yes,regular
7370227,highway,unclassified,regular
7370227,cycleway,opposite,regular
7370227,sidewalk,both,regular
7370228,name,Camperstraat,regular
7370228,oneway,yes,regular
7370228,highway,unclassified,regular
7370228,cycleway,opposite,regular
7370247,foot,yes,regular
7370247,name,Nieuwe Keizersgracht,regular
7370247,oneway,yes,regular
7370247,highway,residential,regular
7370247,cycleway,opposite,regular
7370257,name,Nieuwe Prinsengracht,regular
7370257,highway,unclassified,regular
7370258,name,Nieuwe Prinsengracht,regular
7370258,highway,unclassified,regular
7370259,name,Nieuwe Prinsengracht,regular
7370259,oneway,yes,regular
7370259,highway,unclassified,regular
7370260,name,Nieuwe Prinsengracht,regular
7370260,highway,unclassified,regular
7370262,lit,yes,regular
7370262,name,Nieuwe Kerkstraat,regular
7370262,highway,unclassified,regular
7370263,name,Nieuwe Keizersgracht,regular
7370263,highway,unclassified,regular
7370272,cycleway,lane,regular
7370272,surface,asphalt,cycleway
7370272,surface:color,red,cycleway
7370272,width,1.25,cycleway
7370272,highway,tertiary,regular
7370272,lit,yes,regular
7370272,maxspeed,50,regular
7370272,name,Weesperzijde,regular
7370272,oneway,yes,regular
7370279,name,Tweede Boerhaavestraat,regular
7370279,oneway,yes,regular
7370279,highway,unclassified,regular
7370279,cycleway,opposite,regular
7370288,name,Swammerdamstraat,regular
7370288,highway,pedestrian,regular
7370294,name,Hemonystraat,regular
7370294,oneway,yes,regular
7370294,highway,unclassified,regular
7370294,cycleway,opposite,regular
7370295,name,Swammerdamstraat,regular
7370295,oneway,no,regular
7370295,highway,unclassified,regular
7370295,maxspeed,30,regular
7370296,highway,unclassified,regular
7370296,name,Deymanstraat,regular
7370296,oneway,no,regular
7370303,lit,yes,regular
7370303,oneway,yes,regular
7370303,highway,cycleway,regular
7370305,foot,yes,regular
7370305,highway,cycleway,regular
7370305,name,Hemonystraat,regular
7370305,oneway,no,regular
7370305,surface,paved,regular
7370307,name,Ruyschstraat,regular
7370307,oneway,yes,regular
7370307,highway,tertiary,regular
7370307,maxspeed,50,regular
7370309,lit,yes,regular
7370309,name,Weesperzijde,regular
7370309,oneway,yes,regular
7370309,highway,residential,regular
7370309,surface,asphalt,regular
7370309,cycleway,opposite,regular
7370309,bicycle,no,oneway
7370310,lit,yes,regular
7370310,foot,no,regular
7370310,name,Weesperzijde,regular
7370310,highway,cycleway,regular
7370315,highway,unclassified,regular
7370315,name,Deymanstraat,regular
7370319,highway,unclassified,regular
7370319,name,Deymanstraat,regular
7370319,oneway,no,regular
7370320,name,Eerste Boerhaavestraat,regular
7370320,oneway,yes,regular
7370320,highway,unclassified,regular
7370320,moped,no,oneway
7370320,bicycle,no,oneway
7370321,name,Swammerdamstraat,regular
7370321,oneway,no,regular
7370321,highway,unclassified,regular
7370322,name,Boerhaaveplein,regular
7370322,oneway,yes,regular
7370322,highway,unclassified,regular
7370322,cycleway,opposite,regular
7370329,name,Mauritsstraat,regular
7370329,highway,unclassified,regular
7370330,name,Swammerdamstraat,regular
7370330,oneway,yes,regular
7370330,highway,unclassified,regular
7370335,name,Tilanusstraat,regular
7370335,oneway,yes,regular
7370335,highway,unclassified,regular
7370335,cycleway,opposite,regular
7370344,name,Ruyschstraat,regular
7370344,oneway,yes,regular
7370344,highway,tertiary,regular
7370344,maxspeed,50,regular
7370346,name,Korte Amstelstraat,regular
7370346,oneway,yes,regular
7370346,highway,unclassified,regular
7370347,name,Voormalige Stadstimmertuin,regular
7370347,highway,unclassified,regular
7370348,name,Lepelstraat,regular
7370348,highway,unclassified,regular
7370349,name,Valckenierstraat,regular
7370349,highway,service,regular
